ID;Nr receptury;Receptura;Objêtoœæ;DT pocz¹tek;DT przesypanie kr.;DT za³adunek;DT beton gotowy;DT zrzut;Czas cyklu WK;Czas oczekiwania WK;Czas cyklu skipu;Czas oczekiwania skipu;Czas za³adunku mieszarki;Czas mieszania zarobu;Czas cyklu mieszarki;Czas oczekiwania mieszarki;Czas cyklu ca³kowity;Czas oczekiwania ca³kowity;Zadane: Piasek;Zadane: ¯wir 2-8;Zadane: ¯wir 8-16;Zadane: --- kr.t4;Zadane: Cement;Zadane: Popió³;Zadane: --- ce.t3;Zadane: --- ce.t4;Zadane: Plast. PowerFlow;Zadane: Utw. Rapid-600;Zadane: --- ch.t3;Zadane: --- ch.t4;Zadane: Kruszywa ca³kowite;Zadane: Cementy ca³kowite;Zadane: Chemia ca³kowita;Zadane: Woda;Zadane: Wilgotnoœæ;Zwa¿one: Piasek;Zwa¿one: ¯wir 2-8;Zwa¿one: ¯wir 8-16;Zwa¿one: --- kr.t4;Zwa¿one: Cement;Zwa¿one: Popió³;Zwa¿one: --- ce.t3;Zwa¿one: --- ce.t4;Zwa¿one: Plast. PowerFlow;Zwa¿one: Utw. Rapid-600;Zwa¿one: --- ch.t3;Zwa¿one: --- ch.t4;Wsypane kruszywa ca³kowite;Wsypane cementy ca³kowite;Wlana chemia ca³kowita;Wlana woda;Koñcowa wilgotnoœæ;Koñcowy pr¹d mieszarki;
16273;1;FILIGRAN;0,8;19.08.2024 07:39:07;19.08.2024 07:40:54;19.08.2024 07:42:37;19.08.2024 07:44:11;19.08.2024 07:45:50;120;0;71;69;48;47;138;56;279;125;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;920;0;0;277;0;0;0;1,7;1,37;0;0;1593;282;3,17;153;0;16,8;
16274;1;FILIGRAN;0,8;19.08.2024 08:22:12;19.08.2024 08:23:59;19.08.2024 08:24:33;19.08.2024 08:26:12;19.08.2024 08:26:56;120;0;71;0;48;52;143;0;284;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;920;0;0;277;0;0;0;1,68;1,38;0;0;1590;276;3,16;149;0;16,8;
16275;1;FILIGRAN;0,8;19.08.2024 08:24:13;19.08.2024 08:25:59;19.08.2024 08:27:00;19.08.2024 08:28:35;19.08.2024 08:29:18;120;0;71;26;47;48;138;0;279;26;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;681;920;0;0;275;0;0;0;1,69;1,4;0;0;1593;278;3,17;149;0;16,9;
16276;1;FILIGRAN;0,8;19.08.2024 09:00:59;19.08.2024 09:02:46;19.08.2024 09:03:20;19.08.2024 09:05:00;19.08.2024 09:05:43;120;0;71;0;47;52;142;0;283;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;681;921;0;0;277;0;0;0;1,68;1,41;0;0;1595;278;3,18;150;0;16,6;
16277;1;FILIGRAN;0,8;19.08.2024 09:03:00;19.08.2024 09:04:46;19.08.2024 09:05:47;19.08.2024 09:07:21;19.08.2024 09:08:04;120;0;71;26;47;46;136;1;278;27;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;921;0;0;277;0;0;0;1,69;1,41;0;0;1591;279;3,18;149;0;17,4;
16278;4;BALKONY;0,6;19.08.2024 09:31:27;19.08.2024 09:33:04;19.08.2024 09:33:38;19.08.2024 09:35:17;19.08.2024 09:36:00;111;0;71;0;44;55;142;0;273;0;510;690;0;0;210;0;0;0;1,26;1,05;0;0;1200;210;2,31;112;0;509;691;0;0;206;0;0;0;1,26;1,04;0;0;1189;207;2,41;117;0;13,9;
16279;1;FILIGRAN;0,8;19.08.2024 09:33:19;19.08.2024 09:35:06;19.08.2024 09:36:04;19.08.2024 09:37:40;19.08.2024 09:38:23;120;0;72;24;47;49;139;0;280;24;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;679;920;0;0;277;0;0;0;1,67;1,37;0;0;1589;282;3,13;150;0;17,1;
16280;4;BALKONY;0,6;19.08.2024 09:45:04;19.08.2024 09:46:41;19.08.2024 09:47:15;19.08.2024 09:48:57;19.08.2024 09:49:41;111;0;70;0;46;56;145;0;277;0;510;690;0;0;210;0;0;0;1,26;1,05;0;0;1200;210;2,31;112;0;510;691;0;0;207;0;0;0;1,26;1,04;0;0;1191;211;2,39;117;0;13,7;
16281;1;FILIGRAN;0,8;19.08.2024 09:46:55;19.08.2024 09:48:42;19.08.2024 09:49:45;19.08.2024 09:51:18;19.08.2024 09:52:02;120;0;71;29;47;47;137;0;277;29;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;920;0;0;275;0;0;0;1,7;1,4;0;0;1587;272;3,18;149;0;16,8;
16282;1;FILIGRAN;0,8;19.08.2024 10:01:48;19.08.2024 10:03:35;19.08.2024 10:04:09;19.08.2024 10:05:49;19.08.2024 10:06:32;121;0;71;0;47;52;142;0;284;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;920;0;0;276;0;0;0;1,68;1,39;0;0;1589;276;3,18;149;0;16,2;
